Zone,Lag_Days,Cross_Corr
US,-10,-0.05597671704634595
US,-9,-0.05556952185775388
US,-8,-0.0471619848199391
US,-7,-0.05440812405876045
US,-6,-0.05525750573606408
US,-5,-0.056172974547644104
US,-4,-0.049662405798385365
US,-3,-0.04759517729145138
US,-2,-0.046782801779518414
US,-1,-0.03771173033994998
US,0,-0.03495650358887089
US,1,0.004852941773512748
US,2,-0.002065658577291503
US,3,0.004100115064450186
US,4,-0.0019894669686506086
US,5,0.0021604320034893324
US,6,-0.0007103860751886976
US,7,-0.0051977177513127925
US,8,0.011731982583770144
US,9,-0.008649278673523553
US,10,0.0011338726353171738
EU,-10,-0.049179656132768576
EU,-9,-0.05180977938611422
EU,-8,-0.0582083377549931
EU,-7,-0.059264938220556576
EU,-6,-0.06554730153120875
EU,-5,-0.06099613687692401
EU,-4,-0.056111484869145474
EU,-3,-0.055273786843985165
EU,-2,-0.047100441166238335
EU,-1,-0.0463092129018715
EU,0,-0.030305968271421332
EU,1,0.010066269597353846
EU,2,0.0112255538337528
EU,3,0.008134403272706684
EU,4,0.007967310816295951
EU,5,0.009923279030673481
EU,6,0.011340367769105762
EU,7,0.013191927187959696
EU,8,0.0153485896299718
EU,9,0.013069175405875051
EU,10,0.010206621593661837
