Period,Zone,Regime,Sector,Ann_Return
P1 (2005-2012),US,GOLDILOCKS,XLK,0.29215865427428517
P1 (2005-2012),US,GOLDILOCKS,DBC,0.11679321526281085
P1 (2005-2012),US,GOLDILOCKS,XLI,0.22986476674659131
P1 (2005-2012),US,GOLDILOCKS,XLY,0.357319987298772
P1 (2005-2012),US,GOLDILOCKS,XLRE,0.0
P1 (2005-2012),US,GOLDILOCKS,XLU,0.15358093446064153
P1 (2005-2012),US,GOLDILOCKS,XLV,0.1581860224099416
P1 (2005-2012),US,GOLDILOCKS,XLF,0.22761724237462405
P1 (2005-2012),US,GOLDILOCKS,XLB,0.2501323045828161
P1 (2005-2012),US,GOLDILOCKS,XLE,0.21741021857303347
P1 (2005-2012),US,REFLATION,XLK,0.05613057450465173
P1 (2005-2012),US,REFLATION,DBC,0.12065710688626462
P1 (2005-2012),US,REFLATION,XLI,0.16243980044601056
P1 (2005-2012),US,REFLATION,XLY,0.03216938515396385
P1 (2005-2012),US,REFLATION,XLRE,0.0
P1 (2005-2012),US,REFLATION,XLU,0.15655106801283422
P1 (2005-2012),US,REFLATION,XLV,0.1001460437919253
P1 (2005-2012),US,REFLATION,XLF,0.029224026295643
P1 (2005-2012),US,REFLATION,XLB,0.1311402231361668
P1 (2005-2012),US,REFLATION,XLE,0.2894184744421628
P1 (2005-2012),US,STAGFLATION,XLK,-0.08343665613029745
P1 (2005-2012),US,STAGFLATION,DBC,0.2918611768873145
P1 (2005-2012),US,STAGFLATION,XLI,-0.19124637514703174
P1 (2005-2012),US,STAGFLATION,XLY,-0.19212606877348531
P1 (2005-2012),US,STAGFLATION,XLRE,0.0
P1 (2005-2012),US,STAGFLATION,XLU,-0.1180432204296879
P1 (2005-2012),US,STAGFLATION,XLV,-0.02252704670298133
P1 (2005-2012),US,STAGFLATION,XLF,-0.15203898583985906
P1 (2005-2012),US,STAGFLATION,XLB,0.011304297155802227
P1 (2005-2012),US,STAGFLATION,XLE,0.03563014241335399
P1 (2005-2012),US,DEFLATION,XLK,-0.060206917024339654
P1 (2005-2012),US,DEFLATION,DBC,-0.39134966593330467
P1 (2005-2012),US,DEFLATION,XLI,-0.1473165570410409
P1 (2005-2012),US,DEFLATION,XLY,0.006143592004561257
P1 (2005-2012),US,DEFLATION,XLRE,0.0
P1 (2005-2012),US,DEFLATION,XLU,-0.03166943376188315
P1 (2005-2012),US,DEFLATION,XLV,-0.06805925034199559
P1 (2005-2012),US,DEFLATION,XLF,-0.15193948544483726
P1 (2005-2012),US,DEFLATION,XLB,-0.15247233493354825
P1 (2005-2012),US,DEFLATION,XLE,-0.15851512201458118
P1 (2005-2012),EU,GOLDILOCKS,EXI5.DE,0.007482533982412437
P1 (2005-2012),EU,GOLDILOCKS,EXV5.DE,0.1241596650911036
P1 (2005-2012),EU,GOLDILOCKS,EXV1.DE,-0.03919504591831795
P1 (2005-2012),EU,GOLDILOCKS,DBC,-0.12183141507593227
P1 (2005-2012),EU,GOLDILOCKS,EXV9.DE,0.2185764100370632
P1 (2005-2012),EU,GOLDILOCKS,EXV7.DE,0.10162850127625661
P1 (2005-2012),EU,GOLDILOCKS,SXRS.DE,0.0
P1 (2005-2012),EU,GOLDILOCKS,EXW1.DE,-0.1053514811268772
P1 (2005-2012),EU,GOLDILOCKS,EXV3.DE,0.16936731108860228
P1 (2005-2012),EU,GOLDILOCKS,EXV4.DE,0.05235918913648839
P1 (2005-2012),EU,GOLDILOCKS,EXV6.DE,-0.11911072220984296
P1 (2005-2012),EU,GOLDILOCKS,EXV2.DE,-0.09865638295588208
P1 (2005-2012),EU,GOLDILOCKS,EXV8.DE,0.09631537257565952
P1 (2005-2012),EU,REFLATION,EXI5.DE,0.29656671255535816
P1 (2005-2012),EU,REFLATION,EXV5.DE,0.24931362859632794
P1 (2005-2012),EU,REFLATION,EXV1.DE,0.2100559983478042
P1 (2005-2012),EU,REFLATION,DBC,0.23113010577113893
P1 (2005-2012),EU,REFLATION,EXV9.DE,0.1396716490564988
P1 (2005-2012),EU,REFLATION,EXV7.DE,0.29053140932770566
P1 (2005-2012),EU,REFLATION,SXRS.DE,0.0
P1 (2005-2012),EU,REFLATION,EXW1.DE,0.21249434354132804
P1 (2005-2012),EU,REFLATION,EXV3.DE,0.24021225608884175
P1 (2005-2012),EU,REFLATION,EXV4.DE,0.20781514869910084
P1 (2005-2012),EU,REFLATION,EXV6.DE,0.3255950265789916
P1 (2005-2012),EU,REFLATION,EXV2.DE,0.10019154683573533
P1 (2005-2012),EU,REFLATION,EXV8.DE,0.31491477148549113
P1 (2005-2012),EU,STAGFLATION,EXI5.DE,-0.28703293819504977
P1 (2005-2012),EU,STAGFLATION,EXV5.DE,0.08292395516813264
P1 (2005-2012),EU,STAGFLATION,EXV1.DE,-0.4839377027604498
P1 (2005-2012),EU,STAGFLATION,DBC,0.21335385668262424
P1 (2005-2012),EU,STAGFLATION,EXV9.DE,-0.3152072951961646
P1 (2005-2012),EU,STAGFLATION,EXV7.DE,-0.22939210274658592
P1 (2005-2012),EU,STAGFLATION,SXRS.DE,0.0
P1 (2005-2012),EU,STAGFLATION,EXW1.DE,-0.25226884517068765
P1 (2005-2012),EU,STAGFLATION,EXV3.DE,-0.38135062582438933
P1 (2005-2012),EU,STAGFLATION,EXV4.DE,-0.0875765958989508
P1 (2005-2012),EU,STAGFLATION,EXV6.DE,-0.1183332434037472
P1 (2005-2012),EU,STAGFLATION,EXV2.DE,-0.18728828218292087
P1 (2005-2012),EU,STAGFLATION,EXV8.DE,-0.47889786214177166
P1 (2005-2012),EU,DEFLATION,EXI5.DE,-0.08142698307361054
P1 (2005-2012),EU,DEFLATION,EXV5.DE,-0.0794149496231729
P1 (2005-2012),EU,DEFLATION,EXV1.DE,-0.04397670707899858
P1 (2005-2012),EU,DEFLATION,DBC,-0.23418441061033649
P1 (2005-2012),EU,DEFLATION,EXV9.DE,0.09267944742250267
P1 (2005-2012),EU,DEFLATION,EXV7.DE,0.13916827904148485
P1 (2005-2012),EU,DEFLATION,SXRS.DE,0.0
P1 (2005-2012),EU,DEFLATION,EXW1.DE,-0.1025290548833322
P1 (2005-2012),EU,DEFLATION,EXV3.DE,0.009906437676759416
P1 (2005-2012),EU,DEFLATION,EXV4.DE,0.02163566733095032
P1 (2005-2012),EU,DEFLATION,EXV6.DE,-0.09076270281103502
P1 (2005-2012),EU,DEFLATION,EXV2.DE,-0.09392586285066155
P1 (2005-2012),EU,DEFLATION,EXV8.DE,0.03692936363689171
P2 (2013-2019),US,GOLDILOCKS,XLK,0.19115308433091058
P2 (2013-2019),US,GOLDILOCKS,DBC,-0.09393407158904137
P2 (2013-2019),US,GOLDILOCKS,XLI,0.12293525430587
P2 (2013-2019),US,GOLDILOCKS,XLY,0.1618047510140055
P2 (2013-2019),US,GOLDILOCKS,XLRE,0.06592130463425835
P2 (2013-2019),US,GOLDILOCKS,XLU,0.11293645293378281
P2 (2013-2019),US,GOLDILOCKS,XLV,0.20659284282607823
P2 (2013-2019),US,GOLDILOCKS,XLF,0.15081018208017513
P2 (2013-2019),US,GOLDILOCKS,XLB,0.08753012938102823
P2 (2013-2019),US,GOLDILOCKS,XLE,-0.015294883816580052
P2 (2013-2019),US,REFLATION,XLK,0.2534358732302445
P2 (2013-2019),US,REFLATION,DBC,0.042411336793299205
P2 (2013-2019),US,REFLATION,XLI,0.16841878255984544
P2 (2013-2019),US,REFLATION,XLY,0.20647457289578883
P2 (2013-2019),US,REFLATION,XLRE,-0.01843914246028193
P2 (2013-2019),US,REFLATION,XLU,0.10762342601131192
P2 (2013-2019),US,REFLATION,XLV,0.17382124052543918
P2 (2013-2019),US,REFLATION,XLF,0.2575005512693136
P2 (2013-2019),US,REFLATION,XLB,0.12277994545186242
P2 (2013-2019),US,REFLATION,XLE,0.14544423180187369
P2 (2013-2019),US,STAGFLATION,XLK,-0.03927079182262694
P2 (2013-2019),US,STAGFLATION,DBC,1.7668674068335508
P2 (2013-2019),US,STAGFLATION,XLI,-0.8302169732004123
P2 (2013-2019),US,STAGFLATION,XLY,0.19499892595499158
P2 (2013-2019),US,STAGFLATION,XLRE,2.1192936341831192
P2 (2013-2019),US,STAGFLATION,XLU,2.018847388861839
P2 (2013-2019),US,STAGFLATION,XLV,0.7600658135178124
P2 (2013-2019),US,STAGFLATION,XLF,-0.3643618201661547
P2 (2013-2019),US,STAGFLATION,XLB,-3.167121585374349
P2 (2013-2019),US,STAGFLATION,XLE,-0.5290619547558659
P2 (2013-2019),US,DEFLATION,XLK,0.04529541503713003
P2 (2013-2019),US,DEFLATION,DBC,-0.15733978876396373
P2 (2013-2019),US,DEFLATION,XLI,0.15103498427355155
P2 (2013-2019),US,DEFLATION,XLY,0.03971568439732362
P2 (2013-2019),US,DEFLATION,XLRE,0.2037722121386909
P2 (2013-2019),US,DEFLATION,XLU,0.24559490626629152
P2 (2013-2019),US,DEFLATION,XLV,-0.15141100784268904
P2 (2013-2019),US,DEFLATION,XLF,-0.11658924133248824
P2 (2013-2019),US,DEFLATION,XLB,0.15655004433064335
P2 (2013-2019),US,DEFLATION,XLE,-0.01515677527219586
P2 (2013-2019),EU,GOLDILOCKS,EXI5.DE,0.11141794361923918
